Date,Currency,Maturity,SwapRate
2011-09-30,NK,1,2.673
2011-10-31,NK,1,3.1335
2011-11-30,NK,1,3.06
2011-12-30,NK,1,2.8545
2012-01-31,NK,1,2.7655
2012-02-29,NK,1,2.819
2012-03-30,NK,1,2.65
2012-04-30,NK,1,2.715
2012-05-31,NK,1,2.661
2012-06-29,NK,1,2.589
2012-07-31,NK,1,2.301
2012-08-31,NK,1,2.303
2012-09-28,NK,1,2.152
2012-10-31,NK,1,2.126
2012-11-30,NK,1,2.114
2012-12-31,NK,1,2.022
2013-01-31,NK,1,2.105
2013-02-28,NK,1,2.04
2013-03-29,NK,1,1.95
2013-04-30,NK,1,1.852
2013-05-31,NK,1,1.894
2013-06-28,NK,1,1.832
2013-07-31,NK,1,1.834
2013-08-30,NK,1,1.921
2013-09-30,NK,1,1.913
2013-10-31,NK,1,1.858
2013-11-29,NK,1,1.785
2013-12-31,NK,1,1.777
2014-01-31,NK,1,1.734
2014-02-28,NK,1,1.838
2014-03-31,NK,1,1.874
2014-04-30,NK,1,1.916
2014-05-30,NK,1,1.945
2014-06-30,NK,1,1.787
2014-07-31,NK,1,1.701
